solver,variant,metric,dt,nsteps,median_time_ns,median_time_s,memory,allocs
RK4 Fixed,rossler_static,rhs,,,41.0,4.1e-8,0,0
RK4 Fixed,rossler_type_stable,rhs,,,42.0,4.2000000000000006e-8,80,2
RK4 Fixed,rossler,rhs,,,42.0,4.2000000000000006e-8,80,2
RK4 Fixed,rossler_naive!,rhs,,,42.0,4.2000000000000006e-8,0,0
RK4 Fixed,rossler_naive,rhs,,,42.0,4.2000000000000006e-8,80,2
RK4 Fixed,rossler!,rhs,,,41.0,4.1e-8,0,0
RK4 Fixed,rossler_static_naive,rhs,,,41.0,4.1e-8,0,0
RK4 Fixed,rossler_ad,rhs,,,41.0,4.1e-8,0,0
RK4 Fixed,rossler_static,solve,0.000625,320000,2.49752295e7,0.0249752295,1504,22
RK4 Fixed,rossler_static,solve,0.0003125,640000,4.932675e7,0.04932675,1504,22
RK4 Fixed,rossler_static,solve,0.01,20000,1.5705005e6,0.0015705005,1504,22
RK4 Fixed,rossler_static,solve,0.0025,80000,6.5882085e6,0.0065882085000000005,1504,22
RK4 Fixed,rossler_static,solve,0.005,40000,2.935062e6,0.002935062,1504,22
RK4 Fixed,rossler_static,solve,0.00125,160000,1.2011542e7,0.012011542,1504,22
RK4 Fixed,rossler_type_stable,solve,0.000625,320000,1.834602915e8,0.1834602915,409601808,10240034
RK4 Fixed,rossler_type_stable,solve,0.0003125,640000,3.71805417e8,0.371805417,819201808,20480034
RK4 Fixed,rossler_type_stable,solve,0.01,20000,9.708771e6,0.009708771000000001,25603088,640066
RK4 Fixed,rossler_type_stable,solve,0.0025,80000,4.59327085e7,0.0459327085,102403088,2560066
RK4 Fixed,rossler_type_stable,solve,0.005,40000,1.92026465e7,0.0192026465,51203088,1280066
RK4 Fixed,rossler_type_stable,solve,0.00125,160000,9.2261979e7,0.09226197900000001,204803088,5120066
RK4 Fixed,rossler,solve,0.000625,320000,1.865060415e8,0.18650604150000002,409601808,10240034
RK4 Fixed,rossler,solve,0.0003125,640000,3.75817917e8,0.375817917,819201808,20480034
RK4 Fixed,rossler,solve,0.01,20000,9.579708e6,0.009579708000000001,25603088,640066
RK4 Fixed,rossler,solve,0.0025,80000,4.62971255e7,0.0462971255,102403088,2560066
RK4 Fixed,rossler,solve,0.005,40000,1.9934062e7,0.019934062000000002,51203088,1280066
RK4 Fixed,rossler,solve,0.00125,160000,9.33535415e7,0.09335354150000001,204803088,5120066
RK4 Fixed,rossler_naive!,solve,0.000625,320000,3.2986958e7,0.032986958000000004,2624,50
RK4 Fixed,rossler_naive!,solve,0.0003125,640000,6.4559604e7,0.064559604,2624,50
RK4 Fixed,rossler_naive!,solve,0.01,20000,2.0597495e6,0.0020597495,2624,50
RK4 Fixed,rossler_naive!,solve,0.0025,80000,7.887042e6,0.007887042,2624,50
RK4 Fixed,rossler_naive!,solve,0.005,40000,4.0216875e6,0.0040216875,2624,50
RK4 Fixed,rossler_naive!,solve,0.00125,160000,1.58114585e7,0.0158114585,2624,50
RK4 Fixed,rossler_naive,solve,0.000625,320000,1.85021146e8,0.18502114600000003,409601808,10240034
RK4 Fixed,rossler_naive,solve,0.0003125,640000,3.67824333e8,0.367824333,819201808,20480034
RK4 Fixed,rossler_naive,solve,0.01,20000,9.871625e6,0.009871625,25603088,640066
RK4 Fixed,rossler_naive,solve,0.0025,80000,4.6076271e7,0.046076271,102403088,2560066
RK4 Fixed,rossler_naive,solve,0.005,40000,2.32398125e7,0.023239812500000002,51203088,1280066
RK4 Fixed,rossler_naive,solve,0.00125,160000,9.2171396e7,0.092171396,204803088,5120066
RK4 Fixed,rossler!,solve,0.000625,320000,2.9040896e7,0.029040896000000004,2624,50
RK4 Fixed,rossler!,solve,0.0003125,640000,5.8581917e7,0.058581917000000004,2624,50
RK4 Fixed,rossler!,solve,0.01,20000,1.790437e6,0.0017904370000000002,2624,50
RK4 Fixed,rossler!,solve,0.0025,80000,7.1035205e6,0.0071035205,2624,50
RK4 Fixed,rossler!,solve,0.005,40000,3.424125e6,0.003424125,2624,50
RK4 Fixed,rossler!,solve,0.00125,160000,1.5089854e7,0.015089854000000002,2624,50
RK4 Fixed,rossler_static_naive,solve,0.000625,320000,2.3366375e7,0.023366375,1504,22
RK4 Fixed,rossler_static_naive,solve,0.0003125,640000,4.9094562e7,0.049094562,1504,22
RK4 Fixed,rossler_static_naive,solve,0.01,20000,1.5755005e6,0.0015755005,1504,22
RK4 Fixed,rossler_static_naive,solve,0.0025,80000,6.534458e6,0.006534458000000001,1504,22
RK4 Fixed,rossler_static_naive,solve,0.005,40000,3.1591045e6,0.0031591045,1504,22
RK4 Fixed,rossler_static_naive,solve,0.00125,160000,1.1548979e7,0.011548979000000001,1504,22
RK4 Fixed,rossler_ad,solve,0.000625,320000,2.83032295e7,0.028303229500000002,1504,22
RK4 Fixed,rossler_ad,solve,0.0003125,640000,5.6266833e7,0.056266833,1504,22
RK4 Fixed,rossler_ad,solve,0.01,20000,1.699167e6,0.0016991670000000001,1504,22
RK4 Fixed,rossler_ad,solve,0.0025,80000,6.7550835e6,0.0067550835,1504,22
RK4 Fixed,rossler_ad,solve,0.005,40000,3.4027915e6,0.0034027915000000002,1504,22
RK4 Fixed,rossler_ad,solve,0.00125,160000,1.43197915e7,0.014319791500000002,1504,22
